Actions_taken,Liberal,Unconstitutional,Precedent_alteration,Unanimous,Year_of_decision,Lower_court_disagreement,Log_exposure
0.0,1.0,0.0,0.0,1.0,1953.0,1.0,2.3
0.0,0.0,0.0,0.0,1.0,1953.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1953.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1953.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1953.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1953.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1953.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1953.0,1.0,2.3
1.0,0.0,0.0,0.0,0.0,1953.0,0.0,2.3
1.0,0.0,0.0,0.0,0.0,1953.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1953.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1953.0,0.0,2.3
1.0,0.0,0.0,0.0,0.0,1953.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1953.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1953.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1953.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1953.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1953.0,1.0,2.3
0.0,0.0,0.0,0.0,1.0,1953.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1953.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1953.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1953.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1953.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1953.0,1.0,2.3
0.0,0.0,0.0,0.0,0.0,1953.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1953.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1954.0,1.0,2.3
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1954.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,1.0,1.0,1.0,1.0,1954.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1954.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1954.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1954.0,1.0,2.3
0.0,1.0,1.0,1.0,1.0,1954.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1954.0,1.0,2.3
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1954.0,1.0,2.3
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1954.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1954.0,1.0,2.3
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1954.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1954.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1954.0,1.0,2.3
0.0,1.0,0.0,0.0,1.0,1954.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1954.0,1.0,2.3
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,1.0,1.0,1.0,1.0,1954.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,1.0,1.0,1.0,1.0,1954.0,0.0,2.3
6.0,0.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1954.0,1.0,2.3
0.0,0.0,0.0,0.0,1.0,1954.0,1.0,2.3
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1954.0,1.0,2.3
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1954.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1954.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1954.0,1.0,2.3
0.0,0.0,0.0,0.0,1.0,1954.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1955.0,1.0,2.3
1.0,1.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1955.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1955.0,1.0,2.3
0.0,0.0,0.0,0.0,1.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1955.0,1.0,2.3
0.0,0.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1955.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1955.0,1.0,2.3
2.0,0.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1955.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,2.3
