nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,vars_clauses_ratio,POSNEG_RATIO_CLAUSE_mean,POSNEG_RATIO_CLAUSE_coeff_variation,POSNEG_RATIO_CLAUSE_min,POSNEG_RATIO_CLAUSE_max,POSNEG_RATIO_CLAUSE_entropy,VCG_CLAUSE_mean,VCG_CLAUSE_coeff_variation,VCG_CLAUSE_min,VCG_CLAUSE_max,VCG_CLAUSE_entropy,UNARY,BINARYp,TRINARYp,VCG_VAR_mean,VCG_VAR_coeff_variation,VCG_VAR_min,VCG_VAR_max,VCG_VAR_entropy,POSNEG_RATIO_VAR_mean,POSNEG_RATIO_VAR_stdev,POSNEG_RATIO_VAR_min,POSNEG_RATIO_VAR_max,POSNEG_RATIO_VAR_entropy,HORNY_VAR_mean,HORNY_VAR_coeff_variation,HORNY_VAR_min,HORNY_VAR_max,HORNY_VAR_entropy,horn_clauses_fraction,VG_mean,VG_coeff_variation,VG_min,VG_max,CG_mean,CG_coeff_variation,CG_min,CG_max,CG_entropy,cluster_coeff_mean,cluster_coeff_coeff_variation,cluster_coeff_min,cluster_coeff_max,cluster_coeff_entropy,DIAMETER_mean,DIAMETER_coeff_variation,DIAMETER_min,DIAMETER_max,DIAMETER_entropy,cl_num_mean,cl_num_coeff_variation,cl_num_min,cl_num_max,cl_num_q90,cl_num_q10,cl_num_q75,cl_num_q25,cl_num_q50,cl_size_mean,cl_size_coeff_variation,cl_size_min,cl_size_max,cl_size_q90,cl_size_q10,cl_size_q75,cl_size_q25,cl_size_q50,SP_bias_mean,SP_bias_coeff_variation,SP_bias_min,SP_bias_max,SP_bias_q90,SP_bias_q10,SP_bias_q75,SP_bias_q25,SP_bias_q50,SP_unconstraint_mean,SP_unconstraint_coeff_variation,SP_unconstraint_min,SP_unconstraint_max,SP_unconstraint_q90,SP_unconstraint_q10,SP_unconstraint_q75,SP_unconstraint_q25,SP_unconstraint_q50,saps_BestSolution_Mean,saps_BestSolution_CoeffVariance,saps_FirstLocalMinStep_Mean,saps_FirstLocalMinStep_CoeffVariance,saps_FirstLocalMinStep_Median,saps_FirstLocalMinStep_Q10,saps_FirstLocalMinStep_Q90,saps_BestAvgImprovement_Mean,saps_BestAvgImprovement_CoeffVariance,saps_FirstLocalMinRatio_Mean,saps_FirstLocalMinRatio_CoeffVariance,gsat_BestSolution_Mean,gsat_BestSolution_CoeffVariance,gsat_FirstLocalMinStep_Mean,gsat_FirstLocalMinStep_CoeffVariance,gsat_FirstLocalMinStep_Median,gsat_FirstLocalMinStep_Q10,gsat_FirstLocalMinStep_Q90,gsat_BestAvgImprovement_Mean,gsat_BestAvgImprovement_CoeffVariance,gsat_FirstLocalMinRatio_Mean,gsat_FirstLocalMinRatio_CoeffVariance,lobjois_mean_depth_over_vars,lobjois_log_num_nodes_over_vars,algorithm,runtime
99.0,264.0,72.0,264.0,0.375,0.0,0.2727,0.3939,0.8418,0.0,1.0,1.289,0.053,0.101,0.0417,0.0556,0.4741,0.0,0.0,0.1818,0.053,0.1429,0.0455,0.0606,0.6931,0.0,0.0,0.0,0.0,0.0,0.0186,0.3979,0.0076,0.0303,1.5208,0.3636,0.0208,0.0909,0.0189,0.0227,0.0733,0.1356,0.0568,0.0871,1.3537,0.4456,0.0706,0.4,0.5333,1.4407,5.7887,0.0705,5.0,6.0,0.5156,3147.3,0.1135,2706.0,3848.0,3848.0,2841.0,3117.0,2891.0,3089.0,18.1338,0.0677,16.976,20.5128,20.5128,17.052,18.0992,17.4347,17.8774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3361,0.0783,0.2945,0.3732,0.3661,0.3046,0.3623,0.3112,0.3409,2.2246,0.6409,8.1282,0.2196,8.0,6.0,10.0,1.3984,0.2637,0.8229,0.1537,1.0228,0.2076,8.0888,0.2218,8.0,6.0,10.0,1.0672,0.3603,0.761,0.1447,0.9922,0.9986,MPhaseSAT_2011.02.15,4.511999
99.0,264.0,72.0,264.0,0.375,0.0,0.2727,0.3939,0.8418,0.0,1.0,1.289,0.053,0.101,0.0417,0.0556,0.4741,0.0,0.0,0.1818,0.053,0.1429,0.0455,0.0606,0.6931,0.0,0.0,0.0,0.0,0.0,0.0186,0.3979,0.0076,0.0303,1.5208,0.3636,0.0208,0.0909,0.0189,0.0227,0.0733,0.1356,0.0568,0.0871,1.3537,0.4456,0.0706,0.4,0.5333,1.4407,5.7887,0.0705,5.0,6.0,0.5156,3147.3,0.1135,2706.0,3848.0,3848.0,2841.0,3117.0,2891.0,3089.0,18.1338,0.0677,16.976,20.5128,20.5128,17.052,18.0992,17.4347,17.8774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3361,0.0783,0.2945,0.3732,0.3661,0.3046,0.3623,0.3112,0.3409,2.2246,0.6409,8.1282,0.2196,8.0,6.0,10.0,1.3984,0.2637,0.8229,0.1537,1.0228,0.2076,8.0888,0.2218,8.0,6.0,10.0,1.0672,0.3603,0.761,0.1447,0.9922,0.9986,Sol_2011.04.04,4.597986
99.0,264.0,72.0,264.0,0.375,0.0,0.2727,0.3939,0.8418,0.0,1.0,1.289,0.053,0.101,0.0417,0.0556,0.4741,0.0,0.0,0.1818,0.053,0.1429,0.0455,0.0606,0.6931,0.0,0.0,0.0,0.0,0.0,0.0186,0.3979,0.0076,0.0303,1.5208,0.3636,0.0208,0.0909,0.0189,0.0227,0.0733,0.1356,0.0568,0.0871,1.3537,0.4456,0.0706,0.4,0.5333,1.4407,5.7887,0.0705,5.0,6.0,0.5156,3147.3,0.1135,2706.0,3848.0,3848.0,2841.0,3117.0,2891.0,3089.0,18.1338,0.0677,16.976,20.5128,20.5128,17.052,18.0992,17.4347,17.8774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3361,0.0783,0.2945,0.3732,0.3661,0.3046,0.3623,0.3112,0.3409,2.2246,0.6409,8.1282,0.2196,8.0,6.0,10.0,1.3984,0.2637,0.8229,0.1537,1.0228,0.2076,8.0888,0.2218,8.0,6.0,10.0,1.0672,0.3603,0.761,0.1447,0.9922,0.9986,QuteRSat_2011.05.12_fixed_,5.69082
99.0,264.0,72.0,264.0,0.375,0.0,0.2727,0.3939,0.8418,0.0,1.0,1.289,0.053,0.101,0.0417,0.0556,0.4741,0.0,0.0,0.1818,0.053,0.1429,0.0455,0.0606,0.6931,0.0,0.0,0.0,0.0,0.0,0.0186,0.3979,0.0076,0.0303,1.5208,0.3636,0.0208,0.0909,0.0189,0.0227,0.0733,0.1356,0.0568,0.0871,1.3537,0.4456,0.0706,0.4,0.5333,1.4407,5.7887,0.0705,5.0,6.0,0.5156,3147.3,0.1135,2706.0,3848.0,3848.0,2841.0,3117.0,2891.0,3089.0,18.1338,0.0677,16.976,20.5128,20.5128,17.052,18.0992,17.4347,17.8774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3361,0.0783,0.2945,0.3732,0.3661,0.3046,0.3623,0.3112,0.3409,2.2246,0.6409,8.1282,0.2196,8.0,6.0,10.0,1.3984,0.2637,0.8229,0.1537,1.0228,0.2076,8.0888,0.2218,8.0,6.0,10.0,1.0672,0.3603,0.761,0.1447,0.9922,0.9986,CryptoMiniSat_Strange.Night2.st_fixed_,6.16075
99.0,264.0,72.0,264.0,0.375,0.0,0.2727,0.3939,0.8418,0.0,1.0,1.289,0.053,0.101,0.0417,0.0556,0.4741,0.0,0.0,0.1818,0.053,0.1429,0.0455,0.0606,0.6931,0.0,0.0,0.0,0.0,0.0,0.0186,0.3979,0.0076,0.0303,1.5208,0.3636,0.0208,0.0909,0.0189,0.0227,0.0733,0.1356,0.0568,0.0871,1.3537,0.4456,0.0706,0.4,0.5333,1.4407,5.7887,0.0705,5.0,6.0,0.5156,3147.3,0.1135,2706.0,3848.0,3848.0,2841.0,3117.0,2891.0,3089.0,18.1338,0.0677,16.976,20.5128,20.5128,17.052,18.0992,17.4347,17.8774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3361,0.0783,0.2945,0.3732,0.3661,0.3046,0.3623,0.3112,0.3409,2.2246,0.6409,8.1282,0.2196,8.0,6.0,10.0,1.3984,0.2637,0.8229,0.1537,1.0228,0.2076,8.0888,0.2218,8.0,6.0,10.0,1.0672,0.3603,0.761,0.1447,0.9922,0.9986,PicoSAT_941,12.92172
99.0,264.0,72.0,264.0,0.375,0.0,0.2727,0.3939,0.8418,0.0,1.0,1.289,0.053,0.101,0.0417,0.0556,0.4741,0.0,0.0,0.1818,0.053,0.1429,0.0455,0.0606,0.6931,0.0,0.0,0.0,0.0,0.0,0.0186,0.3979,0.0076,0.0303,1.5208,0.3636,0.0208,0.0909,0.0189,0.0227,0.0733,0.1356,0.0568,0.0871,1.3537,0.4456,0.0706,0.4,0.5333,1.4407,5.7887,0.0705,5.0,6.0,0.5156,3147.3,0.1135,2706.0,3848.0,3848.0,2841.0,3117.0,2891.0,3089.0,18.1338,0.0677,16.976,20.5128,20.5128,17.052,18.0992,17.4347,17.8774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3361,0.0783,0.2945,0.3732,0.3661,0.3046,0.3623,0.3112,0.3409,2.2246,0.6409,8.1282,0.2196,8.0,6.0,10.0,1.3984,0.2637,0.8229,0.1537,1.0228,0.2076,8.0888,0.2218,8.0,6.0,10.0,1.0672,0.3603,0.761,0.1447,0.9922,0.9986,glucose_2,15.8613
99.0,264.0,72.0,264.0,0.375,0.0,0.2727,0.3939,0.8418,0.0,1.0,1.289,0.053,0.101,0.0417,0.0556,0.4741,0.0,0.0,0.1818,0.053,0.1429,0.0455,0.0606,0.6931,0.0,0.0,0.0,0.0,0.0,0.0186,0.3979,0.0076,0.0303,1.5208,0.3636,0.0208,0.0909,0.0189,0.0227,0.0733,0.1356,0.0568,0.0871,1.3537,0.4456,0.0706,0.4,0.5333,1.4407,5.7887,0.0705,5.0,6.0,0.5156,3147.3,0.1135,2706.0,3848.0,3848.0,2841.0,3117.0,2891.0,3089.0,18.1338,0.0677,16.976,20.5128,20.5128,17.052,18.0992,17.4347,17.8774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3361,0.0783,0.2945,0.3732,0.3661,0.3046,0.3623,0.3112,0.3409,2.2246,0.6409,8.1282,0.2196,8.0,6.0,10.0,1.3984,0.2637,0.8229,0.1537,1.0228,0.2076,8.0888,0.2218,8.0,6.0,10.0,1.0672,0.3603,0.761,0.1447,0.9922,0.9986,clasp_2.0.R4092.crafted,32.1768
99.0,264.0,72.0,264.0,0.375,0.0,0.2727,0.3939,0.8418,0.0,1.0,1.289,0.053,0.101,0.0417,0.0556,0.4741,0.0,0.0,0.1818,0.053,0.1429,0.0455,0.0606,0.6931,0.0,0.0,0.0,0.0,0.0,0.0186,0.3979,0.0076,0.0303,1.5208,0.3636,0.0208,0.0909,0.0189,0.0227,0.0733,0.1356,0.0568,0.0871,1.3537,0.4456,0.0706,0.4,0.5333,1.4407,5.7887,0.0705,5.0,6.0,0.5156,3147.3,0.1135,2706.0,3848.0,3848.0,2841.0,3117.0,2891.0,3089.0,18.1338,0.0677,16.976,20.5128,20.5128,17.052,18.0992,17.4347,17.8774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3361,0.0783,0.2945,0.3732,0.3661,0.3046,0.3623,0.3112,0.3409,2.2246,0.6409,8.1282,0.2196,8.0,6.0,10.0,1.3984,0.2637,0.8229,0.1537,1.0228,0.2076,8.0888,0.2218,8.0,6.0,10.0,1.0672,0.3603,0.761,0.1447,0.9922,0.9986,SAT07referencesolverminisat_SAT2007,47.1655
99.0,264.0,72.0,264.0,0.375,0.0,0.2727,0.3939,0.8418,0.0,1.0,1.289,0.053,0.101,0.0417,0.0556,0.4741,0.0,0.0,0.1818,0.053,0.1429,0.0455,0.0606,0.6931,0.0,0.0,0.0,0.0,0.0,0.0186,0.3979,0.0076,0.0303,1.5208,0.3636,0.0208,0.0909,0.0189,0.0227,0.0733,0.1356,0.0568,0.0871,1.3537,0.4456,0.0706,0.4,0.5333,1.4407,5.7887,0.0705,5.0,6.0,0.5156,3147.3,0.1135,2706.0,3848.0,3848.0,2841.0,3117.0,2891.0,3089.0,18.1338,0.0677,16.976,20.5128,20.5128,17.052,18.0992,17.4347,17.8774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3361,0.0783,0.2945,0.3732,0.3661,0.3046,0.3623,0.3112,0.3409,2.2246,0.6409,8.1282,0.2196,8.0,6.0,10.0,1.3984,0.2637,0.8229,0.1537,1.0228,0.2076,8.0888,0.2218,8.0,6.0,10.0,1.0672,0.3603,0.761,0.1447,0.9922,0.9986,jMiniSat_2011,84.5438
99.0,264.0,72.0,264.0,0.375,0.0,0.2727,0.3939,0.8418,0.0,1.0,1.289,0.053,0.101,0.0417,0.0556,0.4741,0.0,0.0,0.1818,0.053,0.1429,0.0455,0.0606,0.6931,0.0,0.0,0.0,0.0,0.0,0.0186,0.3979,0.0076,0.0303,1.5208,0.3636,0.0208,0.0909,0.0189,0.0227,0.0733,0.1356,0.0568,0.0871,1.3537,0.4456,0.0706,0.4,0.5333,1.4407,5.7887,0.0705,5.0,6.0,0.5156,3147.3,0.1135,2706.0,3848.0,3848.0,2841.0,3117.0,2891.0,3089.0,18.1338,0.0677,16.976,20.5128,20.5128,17.052,18.0992,17.4347,17.8774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3361,0.0783,0.2945,0.3732,0.3661,0.3046,0.3623,0.3112,0.3409,2.2246,0.6409,8.1282,0.2196,8.0,6.0,10.0,1.3984,0.2637,0.8229,0.1537,1.0228,0.2076,8.0888,0.2218,8.0,6.0,10.0,1.0672,0.3603,0.761,0.1447,0.9922,0.9986,RestartSAT_B95,116.989
